customerID,Name,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,Under 30,Married,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
3668-QPYBK,Nabin Sapkota,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,eSewa,1615.5,3244.5,Yes,37,No,No,314.1,21,No,No,Yes,0,0,628.2,3872.7
9237-HQITU,Deepika Danwar,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2121,4549.5,Yes,19,Yes,No,273.6,51,No,No,Yes,0,0,547.2,5096.7
9305-CDSKC,Swati Baral,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,2989.5,24615,Yes,31,No,No,364.5,26,Yes,No,Yes,0,0,2916,27531
7892-POOKP,Kalpita Subba,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3144,91381.5,Yes,23,Yes,Yes,146.7,47,Yes,Yes,Yes,0,0,4107.6,95489.1
0280-XJGEX,Tulsi Duwadi,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,3111,151089,Yes,38,No,No,1329.9,11,Yes,No,Yes,0,0,65165.1,216254.1
4190-MFLUW,Medhavi Magar,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1656,15850.5,Yes,21,Yes,Yes,282.3,69,No,Yes,Yes,0,0,2823,18673.5
8779-QRDMV,Kanak Pokhrel,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,1189.5,1189.5,Yes,78,No,No,0,8,No,No,No,0,600,0,1789.5
1066-JKSGK,Hina Paneru,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,eSewa,604.5,604.5,Yes,29,Yes,No,1007.4,0,No,No,No,0,0,1007.4,1611.9
6467-CHFZW,Dharma Sherpa,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cash,2980.5,142474.5,Yes,61,No,Yes,940.5,16,Yes,No,Yes,0,0,44203.5,186678
8665-UTDHZ,Mani Mali,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Cash,906,906,Yes,27,Yes,Yes,0,58,No,No,Yes,0,0,0,906
8773-HHUOZ,Urmi Pandit,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,eSewa,1941,32793,Yes,20,Yes,No,1216.5,41,Yes,No,Yes,0,0,20680.5,53473.5
6047-YHPVI,Gyan Rawal,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2091,9507,Yes,56,No,No,378,58,No,No,Yes,0,0,1890,11397
5380-WJKOV,Yogendra Duwadi,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3190.5,106477.5,Yes,51,No,No,650.7,28,Yes,No,Yes,0,0,22123.8,128601.3
8168-UQWWF,Amrita Bhandari,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,2935.5,33162,Yes,48,No,No,827.1,18,Yes,No,Yes,0,0,9098.1,42260.1
7760-OYPDY,Menuka Shukla,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2419.5,4324.5,Yes,32,No,No,175.5,19,No,No,No,0,600,351,5275.5
9420-LOJKX,Reshmi Sunwar,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2973,42792,Yes,34,No,No,118.8,20,Yes,No,Yes,0,0,1782,44574
7495-OOKFY,Neelu Giri,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2419.5,18999,Yes,74,No,Yes,1465.5,17,No,No,Yes,0,0,11724,30723
1658-BYGOY,Madhav Gajmer,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,2863.5,52576.5,Yes,71,No,No,339.9,52,Yes,No,Yes,1368.3,0,6118.2,57326.4
5698-BQJOH,Parvati Shamsher,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Cash,2832,25717.5,Yes,41,No,No,816.3,29,Yes,No,Yes,0,0,7346.7,33064.2
5919-TMRGD,Eshita Gartola,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2380.5,2380.5,Yes,32,No,No,393.9,57,No,No,Yes,0,0,393.9,2774.4
9191-MYQKX,Munisha Khas,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2254.5,14907,Yes,34,No,Yes,260.7,53,No,No,Yes,0,0,1824.9,16731.9
8637-XJIVR,Sameera Bastola,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Cash,2368.5,27820.5,Yes,34,No,No,760.2,56,No,No,No,0,2400,9122.4,39342.9
0278-YXOOG,Manil Lamichhane,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,eSewa,631.5,3415.5,Yes,30,No,No,1027.8,0,No,No,No,0,0,5139,8554.5
4598-XLKNJ,Nitika Limbu,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,2955,75435,Yes,78,No,Yes,592.8,12,No,No,Yes,402.9,0,14820,89852.1
3192-NQECA,Harsha Manandhar,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mobile Banking,3300,228355.5,Yes,26,Yes,Yes,443.7,47,Yes,Yes,Yes,0,0,30171.6,258527.1
0486-HECZI,Pawan Kumale,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Cash,2902.5,157167,Yes,37,No,Yes,1471.8,27,No,No,Yes,0,0,80949,238116
4846-WHAFZ,Megha Chalise,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2295,86044.5,Yes,80,No,Yes,189.9,14,No,No,Yes,0,0,7026.3,93070.8
